年別,月份,車種,線別,準點率
2021,6,對號列車,西幹,96.3
2021,6,對號列車,東幹,94.6
2021,6,對號列車,南迴,95.7
2021,6,對號列車,北半環,93.7
2021,6,對號列車,南半環,94.1
2021,6,對號列車,全線,95.1
2021,6,區間車,基隆~竹南(西幹線),98.8
2021,6,區間車,竹南~彰化(經山線),97.4
2021,6,區間車,竹南~彰化(經海線),96.3
2021,6,區間車,竹南~彰化(成追線),96
2021,6,區間車,彰化~嘉義(西幹線),99
2021,6,區間車,嘉義~屏東(西幹線),97.8
2021,6,區間車,屏東~臺東(南迴線),90.8
2021,6,區間車,臺東~花蓮(花東線),97.5
2021,6,區間車,花蓮~蘇澳(北迴線),97.3
2021,6,區間車,蘇澳~樹林(宜蘭線),97.7
2021,6,區間車,北半環,96.8
2021,6,區間車,全線,97.9
2021,7,對號列車,西幹,95.3
2021,7,對號列車,東幹,94.7
2021,7,對號列車,南迴,96.5
2021,7,對號列車,北半環,93.9
2021,7,對號列車,南半環,95.7
2021,7,對號列車,全線,95.1
2021,7,區間車,基隆~竹南(西幹線),99
2021,7,區間車,竹南~彰化(經山線),98.4
2021,7,區間車,竹南~彰化(經海線),94.3
2021,7,區間車,竹南~彰化(成追線),94.5
2021,7,區間車,彰化~嘉義(西幹線),98.5
2021,7,區間車,嘉義~屏東(西幹線),98.2
2021,7,區間車,屏東~臺東(南迴線),96.8
2021,7,區間車,臺東~花蓮(花東線),97.6
2021,7,區間車,花蓮~蘇澳(北迴線),97
2021,7,區間車,蘇澳~樹林(宜蘭線),97.7
2021,7,區間車,北半環,97.6
2021,7,區間車,全線,98
2021,8,對號列車,西幹,88.6
2021,8,對號列車,東幹,92.6
2021,8,對號列車,南迴,93.3
2021,8,對號列車,北半環,85.8
2021,8,對號列車,南半環,89.2
2021,8,對號列車,全線,90.4
2021,8,區間車,基隆~竹南(西幹線),96.9
2021,8,區間車,竹南~彰化(經山線),94.6
2021,8,區間車,竹南~彰化(經海線),83.5
2021,8,區間車,竹南~彰化(成追線),86.4
2021,8,區間車,彰化~嘉義(西幹線),98.1
2021,8,區間車,嘉義~屏東(西幹線),95.6
2021,8,區間車,屏東~臺東(南迴線),89.5
2021,8,區間車,臺東~花蓮(花東線),94.2
2021,8,區間車,花蓮~蘇澳(北迴線),94.9
2021,8,區間車,蘇澳~樹林(宜蘭線),94.3
2021,8,區間車,北半環,94.5
2021,8,區間車,全線,94.8
2021,9,對號列車,西幹,90.9
2021,9,對號列車,東幹,91.2
2021,9,對號列車,南迴,97.6
2021,9,對號列車,北半環,88.2
2021,9,對號列車,南半環,93.8
2021,9,對號列車,全線,91.7
2021,9,區間車,基隆~竹南(西幹線),96.3
2021,9,區間車,竹南~彰化(經山線),96.2
2021,9,區間車,竹南~彰化(經海線),87
2021,9,區間車,竹南~彰化(成追線),90.8
2021,9,區間車,彰化~嘉義(西幹線),98.1
2021,9,區間車,嘉義~屏東(西幹線),97.2
2021,9,區間車,屏東~臺東(南迴線),97.5
2021,9,區間車,臺東~花蓮(花東線),96.6
2021,9,區間車,花蓮~蘇澳(北迴線),94.1
2021,9,區間車,蘇澳~樹林(宜蘭線),94.3
2021,9,區間車,北半環,94
2021,9,區間車,全線,95.4
2021,10,對號列車,西幹,83.5
2021,10,對號列車,東幹,84.9
2021,10,對號列車,南迴,97.2
2021,10,對號列車,北半環,77.1
2021,10,對號列車,南半環,90.7
2021,10,對號列車,全線,85.4
2021,10,區間車,基隆~竹南(西幹線),94.7
2021,10,區間車,竹南~彰化(經山線),95.3
2021,10,區間車,竹南~彰化(經海線),85.8
2021,10,區間車,竹南~彰化(成追線),88.2
2021,10,區間車,彰化~嘉義(西幹線),97
2021,10,區間車,嘉義~屏東(西幹線),95.8
2021,10,區間車,屏東~臺東(南迴線),96
2021,10,區間車,臺東~花蓮(花東線),95.5
2021,10,區間車,花蓮~蘇澳(北迴線),92.1
2021,10,區間車,蘇澳~樹林(宜蘭線),90.7
2021,10,區間車,北半環,90.6
2021,10,區間車,全線,93.8
